Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,-5.443096E-06,1007.70,0,48.74, -,9.043174
0.05,5.484945,1007.50,5.238095,48.74, -,9.043174
0.10,13.71319,1007.20,13.09524,48.74, -,9.043174
0.15,21.94341,1006.90,20.95238,48.74, -,9.043174
0.20,30.1773,1006.60,28.80952,48.74, -,9.043174
0.25,41.15612,1006.20,39.28571,48.74, -,9.043174
0.30,52.14014,1005.80,49.76191,48.74, -,9.043174
0.35,68.62114,1005.20,65.47619,48.74, -,9.043174
0.40,76.86462,1004.90,73.33334,48.74, -,9.043174
0.45,87.86015,1004.50,83.80952,48.74, -,9.043174
0.50,101.6087,1004.00,96.90476,48.74, -,9.043174
0.55,118.1136,1003.40,112.619,48.74, -,9.043174
0.60,131.8744,1002.90,125.7143,48.74, -,9.043174
0.65,148.3957,1002.30,141.4286,48.74, -,9.043174
0.70,164.9233,1001.70,157.1905,48.74, -,9.043174
0.75,189.7314,1000.80,180.8095,48.74, -,9.043174
0.80,203.5211,1000.30,193.9524,48.74, -,9.043174
0.85,220.0755,999.70,209.7143,48.74, -,9.043174
0.90,242.161,998.90,230.7619,48.74, -,9.043174
0.95,275.317,997.70,262.3333,48.74, -,9.043174
1.00,289.1414,997.20,275.4762,48.74, -,9.043174
1.05,305.7392,996.60,291.2857,48.74, -,9.043174
1.10,327.8804,995.80,307.1429,48.74, -,9.043174
1.15,361.12,994.60,330.9524,48.74, -,9.043174
1.20,377.7512,994.00,338.9524,48.74, -,9.043174
1.25,394.3904,993.40,346.9524,48.74, -,9.043174
1.30,413.8144,992.70,354.9524,48.74, -,9.043174
1.35,447.1381,991.50,376.1905,48.74, -,9.043174
1.40,472.1527,990.60,384.2857,48.74, -,9.043174
1.45,491.6194,989.90,394.9524,48.74, -,9.043174
1.50,505.532,989.40,397.7143,48.74, -,9.062621
1.55,530.5897,988.50,408.4762,48.74, -,9.062621
1.60,577.9703,986.80,437.9048,48.74, -,9.062621
1.65,636.5895,984.70,480.619,48.74, -,9.062621
1.70,647.7673,984.30,475.5714,48.74, -,9.062621
1.75,658.9472,983.90,470.4762,48.74, -,9.062621
1.80,692.5122,982.70,478.8095,48.74, -,9.062621
1.85,731.7136,981.30,503,48.74, -,9.062621
1.90,751.3313,980.60,505.9048,48.74, -,9.062621
1.95,770.9586,979.90,503.5714,48.74, -,9.062621
2.00,799.0193,978.90,498.7143,48.74, -,9.062621
2.05,829.9139,977.80,515,48.74, -,9.062621
2.10,841.1539,977.40,509.9048,48.74, -,9.062621
2.15,852.3994,977.00,499.5238,48.74, -,9.062621
2.20,880.5275,976.00,494.6667,48.74, -,9.062621
2.25,894.6003,975.50,492.1905,48.74, -,9.062621
2.30,883.3409,975.90,465.619,48.74, -,9.062621
2.35,900.2314,975.30,463.2381,48.74, -,9.062621
2.40,925.5804,974.40,455.6667,48.74, -,9.062621
2.45,956.5906,973.30,461.381,48.74, -,9.062621
2.50,976.3388,972.60,461.6667,48.74, -,9.062621
2.55,987.6274,972.20,459.1905,48.74, -,9.043174
2.60,1007.394,971.50,454.1429,48.74, -,9.043174
2.65,1038.477,970.40,438.619,48.74, -,9.043174
2.70,1046.961,970.10,390.9048,48.74, -,9.043174
2.75,1061.103,969.60,393.7143,48.74, -,9.043174
2.80,1089.405,968.60,410,48.74, -,9.043174
2.85,1109.229,967.90,396.9048,48.74, -,9.043174
2.90,1120.564,967.50,370.381,48.74, -,9.043174
2.95,1151.751,966.40,381.4286,48.74, -,9.043174
3.00,1208.531,964.40,416.8095,48.74, -,9.043174
3.05,1251.178,962.90,430.7143,48.74, -,9.043174
3.10,1285.335,961.70,433.8095,48.74, -,9.043174
3.15,1353.752,959.30,488.2381,48.74, -,9.043174
3.20,1419.448,957.00,540.0952,48.74, -,9.043174
3.25,1439.468,956.30,532.3333,48.74, -,9.043174
3.30,1396.583,957.80,478.0952,48.74, -,9.043174
3.35,1330.932,960.10,426.2857,48.74, -,9.043174
3.40,1251.178,962.90,334.2381,48.74, -,9.043174
3.45,1291.031,961.50,348.0476,48.74, -,9.043174
3.50,1325.229,960.30,351.0952,48.74, -,9.023726
3.55,1316.676,960.60,324.1429,48.74, -,9.023726
3.60,1308.125,960.90,305.2381,48.74, -,9.023726
3.65,1325.229,960.30,302.7143,48.74, -,9.023726
3.70,1339.487,959.80,286.6667,48.74, -,9.023726
3.75,1325.229,960.30,265,48.74, -,9.023726
3.80,1282.488,961.80,210.8095,48.74, -,9.023726
3.85,1256.869,962.70,159.4762,48.74, -,9.023726
3.90,1259.715,962.60,143.3333,48.74, -,9.023726
3.95,1265.406,962.40,137.9524,48.74, -,9.023726
4.00,1276.793,962.00,119.0952,48.74, -,9.023726
4.05,1302.427,961.10,89.42857,48.74, -,9.023726
4.10,1322.376,960.40,67.80952,48.74, -,9.023726
4.15,1330.932,960.10,43.42857,48.74, -,9.023726
4.20,1333.783,960.00,-19,48.74, -,9.023726
4.25,1342.339,959.70,-73.42857,48.74, -,9.023726
4.30,1350.898,959.40,-84.33334,48.74, -,9.023726
4.35,1368.023,958.80,-27.14286,48.74, -,9.023726
4.40,1379.443,958.40,46.23809,48.74, -,9.023726
4.45,1379.443,958.40,122.1905,48.74, -,9.023726
4.50,1382.3,958.30,86.95238,48.74, -,9.023726
4.55,1390.869,958.00,62.52381,48.74, -,9.043174
4.60,1405.156,957.50,84.28571,48.74, -,9.043174
4.65,1419.448,957.00,106.0476,48.74, -,9.043174
4.70,1425.167,956.80,95.19048,48.74, -,9.043174
4.75,1428.026,956.70,84.33334,48.74, -,9.043174
4.80,1436.607,956.40,106.0952,48.74, -,9.043174
4.85,1448.052,956.00,157.7143,48.74, -,9.043174
4.90,1456.637,955.70,190.2857,48.74, -,9.043174
4.95,1468.089,955.30,198.4762,48.74, -,9.043174
5.00,1473.816,955.10,198.5238,48.74, -,9.043174
5.05,1485.272,954.70,198.5714,48.74, -,9.043174
5.10,1493.867,954.40,182.3333,48.74, -,9.043174
5.15,1502.466,954.10,171.5238,48.74, -,9.043174
5.20,1511.065,953.80,171.5714,48.74, -,9.043174
5.25,1519.666,953.50,177.0476,48.74, -,9.043174
5.30,1528.27,953.20,177.0952,48.74, -,9.043174
5.35,1536.876,952.90,177.1429,48.74, -,9.043174
5.40,1545.486,952.60,169,48.74, -,9.043174
5.45,1554.096,952.30,166.3333,48.74, -,9.043174
5.50,1562.708,952.00,174.5238,48.74, -,9.043174
5.55,1574.196,951.60,182.7619,48.74, -,9.043174
5.60,1577.068,951.50,177.3333,48.74, -,9.043174
5.65,1585.686,951.20,171.9048,48.74, -,9.043174
5.70,1594.306,950.90,166.4762,48.74, -,9.043174
5.75,1602.931,950.60,169.2381,48.74, -,9.043174
5.80,1611.556,950.30,174.7143,48.74, -,9.043174
5.85,1623.058,949.90,177.4762,48.74, -,9.043174
5.90,1631.69,949.60,174.8095,48.74, -,9.043174
5.95,1637.444,949.40,172.0952,48.74, -,9.043174
6.00,1643.2,949.20,166.6667,48.74, -,9.043174
6.05,1648.957,949.00,166.6667,48.74, -,9.043174
6.10,1657.594,948.70,164,48.74, -,9.043174
6.15,1663.353,948.50,161.2857,48.74, -,9.043174
6.20,1671.994,948.20,161.3333,48.74, -,9.043174
6.25,1680.636,947.90,161.381,48.74, -,9.043174
6.30,1686.4,947.70,158.6667,48.74, -,9.043174
6.35,1692.164,947.50,155.9524,48.74, -,9.043174
6.40,1697.93,947.30,153.2381,48.74, -,9.043174
6.45,1706.579,947.00,153.2857,48.74, -,9.043174
6.50,1712.347,946.80,150.5714,48.74, -,9.043174
6.55,1718.116,946.60,147.8571,48.74, -,9.023726
6.60,1726.77,946.30,145.1429,48.74, -,9.023726
6.65,1732.542,946.10,147.9048,48.74, -,9.023726
6.70,1738.312,945.90,145.1905,48.74, -,9.023726
6.75,1744.086,945.70,142.4762,48.74, -,9.023726
6.80,1749.86,945.50,139.7619,48.74, -,9.023726
6.85,1755.635,945.30,137.0952,48.74, -,9.023726
6.90,1761.412,945.10,131.6667,48.74, -,9.023726
6.95,1767.187,944.90,128.9524,48.74, -,9.023726
7.00,1772.966,944.70,129,48.74, -,9.023726
7.05,1874.241,941.20,220,48.74, -,9.023726
7.10,1923.542,939.50,261.4762,48.74, -,9.023726
7.15,1758.522,945.20,96.09524,48.74, -,9.023726
7.20,1767.187,944.90,98.85714,48.74, -,9.023726
7.25,1761.412,945.10,85.09524,48.74, -,9.023726
7.30,1767.187,944.90,82.38095,48.74, -,9.023726
7.35,1767.187,944.90,76.90476,48.74, -,9.023726
7.40,1775.856,944.60,79.66666,48.74, -,9.023726
7.45,1796.087,943.90,93.47619,48.74, -,9.023726
7.50,1801.87,943.70,90.7619,48.74, -,9.043174
7.55,1804.763,943.60,88.04762,48.74, -,9.043174
7.60,1822.119,943.00,99.09524,48.74, -,9.043174
7.65,1842.38,942.30,110.1429,48.74, -,9.043174
7.70,1839.483,942.40,101.9048,48.74, -,9.043174
7.75,1839.483,942.40,96.42857,48.74, -,9.043174
7.80,1845.274,942.20,96.47619,48.74, -,9.043174
7.85,1845.274,942.20,91,48.74, -,9.043174
7.90,1833.695,942.60,74.42857,48.74, -,9.043174
7.95,1822.119,943.00,57.85714,48.74, -,9.043174
8.00,1822.119,943.00,52.33333,48.74, -,9.043174
8.05,1825.012,942.90,49.57143,48.74, -,9.043174
8.10,1825.012,942.90,-46.90476,48.74, -,9.043174
8.15,1825.012,942.90,-93.85714,48.74, -,9.043174
8.20,1827.907,942.80,66.04762,48.74, -,9.043174
8.25,1830.8,942.70,60.57143,48.74, -,9.043174
8.30,1833.695,942.60,68.85714,48.74, -,9.043174
8.35,1833.695,942.60,63.33333,48.74, -,9.043174
8.40,1830.8,942.70,60.57143,48.74, -,9.043174
8.45,1830.8,942.70,52.33333,48.74, -,9.043174
8.50,1830.8,942.70,33.04762,48.74, -,9.043174
8.55,1830.8,942.70,27.52381,48.74, -,9.082069
8.60,1833.695,942.60,27.52381,48.74, -,9.082069
8.65,1833.695,942.60,11,48.74, -,9.082069
8.70,1833.695,942.60,-8.285714,48.74, -,9.082069
8.75,1833.695,942.60,-5.523809,48.74, -,9.082069
8.80,1833.695,942.60,-5.523809,48.74, -,9.082069
8.85,1833.695,942.60,-11.04762,48.74, -,9.082069
8.90,1833.695,942.60,-11.04762,48.74, -,9.082069
8.95,1833.695,942.60,0,48.74, -,9.082069
9.00,1833.695,942.60,11.04762,48.74, -,9.082069
9.05,1836.589,942.50,13.80952,48.74, -,9.082069
9.10,1836.589,942.50,11.04762,48.74, -,9.082069
9.15,1836.589,942.50,11.04762,48.74, -,9.082069
9.20,1839.483,942.40,13.80952,48.74, -,9.082069
9.25,1836.589,942.50,8.285714,48.74, -,9.082069
9.30,1836.589,942.50,5.523809,48.74, -,9.082069
9.35,1836.589,942.50,2.761905,48.74, -,9.082069
9.40,1836.589,942.50,2.761905,48.74, -,9.082069
9.45,1833.695,942.60,2.761905,48.74, -,9.082069
9.50,1830.8,942.70,0,48.74, -,9.101517
9.55,1830.8,942.70,0,48.74, -,9.101517
9.60,1827.907,942.80,-2.761905,48.74, -,9.101517
9.65,1825.012,942.90,-8.285714,48.74, -,9.101517
9.70,1819.226,943.10,-13.80952,48.74, -,9.101517
9.75,1819.226,943.10,-13.80952,48.74, -,9.101517
9.80,1816.332,943.20,-16.57143,48.74, -,9.101517
9.85,1816.332,943.20,-16.57143,48.74, -,9.101517
9.90,1813.44,943.30,-19.33333,48.74, -,9.101517
9.95,1810.546,943.40,-22.09524,48.74, -,9.101517
10.00,1807.655,943.50,-24.85714,48.74, -,9.101517
10.05,1807.655,943.50,-24.85714,48.74, -,9.101517
10.10,1807.655,943.50,-27.61905,48.74, -,9.101517
10.15,1804.763,943.60,-30.38095,48.74, -,9.101517
10.20,1801.87,943.70,-33.14286,48.74, -,9.101517
10.25,1801.87,943.70,-35.90476,48.74, -,9.101517
10.30,1801.87,943.70,-33.14286,48.74, -,9.101517
10.35,1801.87,943.70,-33.14286,48.74, -,9.101517
10.40,1801.87,943.70,-33.14286,48.74, -,9.101517
10.45,1798.979,943.80,-35.90476,48.74, -,9.101517
10.50,1796.087,943.90,-35.90476,48.74, -,9.101517
10.55,1793.197,944.00,-35.90476,48.74, -,9.101517
10.60,1787.415,944.20,-41.42857,48.74, -,9.101517
10.65,1787.415,944.20,-38.66667,48.74, -,9.101517
10.70,1784.525,944.30,-38.66667,48.74, Drogue,9.101517
10.75,1778.745,944.50,-38.66667,48.74, -,9.101517
10.80,1775.856,944.60,-41.42857,48.74, -,9.101517
10.85,1775.856,944.60,-38.66667,48.74, -,9.101517
10.90,1772.966,944.70,-41.42857,48.74, -,9.101517
10.95,1770.077,944.80,-41.42857,48.74, -,9.101517
11.00,1767.187,944.90,-41.42857,48.74, -,9.101517
11.05,1764.299,945.00,-41.42857,48.74, -,9.101517
11.10,1761.412,945.10,-44.19048,48.74, -,9.101517
11.15,1761.412,945.10,-44.19048,48.74, -,9.101517
11.20,1758.522,945.20,-44.19048,48.74, -,9.101517
11.25,1758.522,945.20,-41.42857,48.74, -,9.101517
11.30,1755.635,945.30,-44.19048,48.74, -,9.101517
11.35,1752.747,945.40,-46.95238,48.74, -,9.101517
11.40,1749.86,945.50,-49.71429,48.74, -,9.101517
11.45,1746.974,945.60,-52.47619,48.74, -,9.101517
11.50,1744.086,945.70,-52.47619,48.74, -,9.101517
11.55,1741.2,945.80,-52.47619,48.74, -,9.101517
11.60,1738.312,945.90,-52.47619,48.74, -,9.101517
11.65,1738.312,945.90,-46.95238,48.74, -,9.101517
11.70,1735.427,946.00,-49.71429,48.74, -,9.101517
11.75,1732.542,946.10,-49.71429,48.74, -,9.101517
11.80,1729.655,946.20,-46.95238,48.74, -,9.101517
11.85,1726.77,946.30,-46.95238,48.74, -,9.101517
11.90,1726.77,946.30,-46.95238,48.74, -,9.101517
11.95,1723.884,946.40,-46.95238,48.74, -,9.101517
12.00,1721,946.50,-46.95238,48.74, -,9.101517
12.05,1718.116,946.60,-46.95238,48.74, -,9.101517
12.10,1718.116,946.60,-44.19048,48.74, -,9.101517
12.15,1712.347,946.80,-46.90476,48.74, -,9.101517
12.20,1709.462,946.90,-49.66667,48.74, -,9.101517
12.25,1706.579,947.00,-49.66667,48.74, -,9.101517
12.30,1706.579,947.00,-49.66667,48.74, -,9.101517
12.35,1706.579,947.00,-46.90476,48.74, -,9.101517
12.40,1706.579,947.00,-44.14286,48.74, -,9.101517
12.45,1703.696,947.10,-44.14286,48.74, -,9.101517
12.50,1697.93,947.30,-46.85714,48.74, -,9.101517
12.55,1695.046,947.40,-46.85714,48.74, -,9.101517
12.60,1689.283,947.60,-49.57143,48.74, -,9.101517
12.65,1686.4,947.70,-49.57143,48.74, -,9.101517
12.70,1683.519,947.80,-52.33333,48.74, -,9.101517
12.75,1683.519,947.80,-49.57143,48.74, -,9.101517
12.80,1680.636,947.90,-49.57143,48.74, -,9.101517
12.85,1680.636,947.90,-46.80952,48.74, -,9.101517
12.90,1677.756,948.00,-46.80952,48.74, -,9.101517
12.95,1674.875,948.10,-49.57143,48.74, -,9.101517
13.00,1671.994,948.20,-49.57143,48.74, -,9.101517
13.05,1669.114,948.30,-49.57143,48.74, -,9.101517
13.10,1666.232,948.40,-49.57143,48.74, -,9.101517
13.15,1663.353,948.50,-52.33333,48.74, -,9.101517
13.20,1660.474,948.60,-49.61905,48.74, -,9.101517
13.25,1657.594,948.70,-49.61905,48.74, -,9.101517
13.30,1657.594,948.70,-46.85714,48.74, -,9.101517
13.35,1654.715,948.80,-49.61905,48.74, -,9.101517
13.40,1651.835,948.90,-52.38095,48.74, -,9.101517
13.45,1648.957,949.00,-55.14286,48.74, -,9.101517
13.50,1646.079,949.10,-55.14286,48.74, -,9.101517
13.55,1643.2,949.20,-52.42857,48.74, -,9.101517
13.60,1640.323,949.30,-52.42857,48.74, -,9.101517
13.65,1637.444,949.40,-49.71429,48.74, -,9.101517
13.70,1634.567,949.50,-49.71429,48.74, -,9.101517
13.75,1631.69,949.60,-49.71429,48.74, -,9.101517
13.80,1628.812,949.70,-52.47619,48.74, -,9.101517
13.85,1628.812,949.70,-49.71429,48.74, -,9.101517
13.90,1625.936,949.80,-52.47619,48.74, -,9.101517
13.95,1625.936,949.80,-49.71429,48.74, -,9.101517
14.00,1623.058,949.90,-49.71429,48.74, -,9.101517
14.05,1620.183,950.00,-49.71429,48.74, -,9.101517
14.10,1617.307,950.10,-49.71429,48.74, -,9.101517
14.15,1617.307,950.10,-46.95238,48.74, -,9.101517
14.20,1611.556,950.30,-49.66667,48.74, -,9.101517
14.25,1608.679,950.40,-49.66667,48.74, -,9.101517
14.30,1605.805,950.50,-49.61905,48.74, -,9.101517
14.35,1602.931,950.60,-52.33333,48.74, -,9.101517
14.40,1602.931,950.60,-49.57143,48.74, -,9.101517
14.45,1600.055,950.70,-49.57143,48.74, -,9.101517
14.50,1594.306,950.90,-52.28571,48.74, -,9.101517
14.55,1591.433,951.00,-52.23809,48.74, -,9.101517
14.60,1588.56,951.10,-52.19048,48.74, -,9.101517
14.65,1588.56,951.10,-49.42857,48.74, -,9.101517
14.70,1582.814,951.30,-52.14286,48.74, -,9.101517
14.75,1582.814,951.30,-49.38095,48.74, -,9.101517
14.80,1579.94,951.40,-49.33333,48.74, -,9.101517
14.85,1582.814,951.30,-43.85714,48.74, -,9.101517
14.90,1579.94,951.40,-46.57143,48.74, -,9.101517
14.95,1577.068,951.50,-46.52381,48.74, -,9.101517
15.00,1577.068,951.50,-46.52381,48.74, -,9.101517
15.05,1577.068,951.50,-43.76191,48.74, -,9.101517
15.10,1577.068,951.50,-41,48.74, -,9.101517
15.15,1579.94,951.40,-35.52381,48.74, -,9.101517
15.20,1577.068,951.50,-38.23809,48.74, -,9.101517
15.25,1579.94,951.40,-30.04762,48.74, -,9.101517
15.30,1582.814,951.30,-24.57143,48.74, -,9.101517
15.35,1582.814,951.30,-21.85714,48.74, -,9.101517
15.40,1579.94,951.40,-21.85714,48.74, -,9.101517
15.45,1568.452,951.80,-32.80952,48.74, -,9.101517
15.50,1565.579,951.90,-32.76191,48.74, -,9.120965
15.55,1565.579,951.90,-27.28572,48.74, -,9.120965
15.60,1565.579,951.90,-24.57143,48.74, -,9.120965
15.65,1559.838,952.10,-27.33333,48.74, -,9.120965
15.70,1551.224,952.40,-35.52381,48.74, -,9.120965
15.75,1542.615,952.70,-38.23809,48.74, -,9.120965
15.80,1534.008,953.00,-46.42857,48.74, -,9.120965
15.85,1531.14,953.10,-46.42857,48.74, -,9.120965
15.90,1531.14,953.10,-49.14286,48.74, -,9.120965
15.95,1528.27,953.20,-49.14286,48.74, -,9.120965
16.00,1525.402,953.30,-49.14286,48.74, -,9.120965
16.05,1525.402,953.30,-49.14286,48.74, -,9.120965
16.10,1522.533,953.40,-51.85714,48.74, -,9.120965
16.15,1525.402,953.30,-49.14286,48.74, -,9.120965
16.20,1528.27,953.20,-49.14286,48.74, -,9.120965
16.25,1528.27,953.20,-46.42857,48.74, -,9.120965
16.30,1531.14,953.10,-46.42857,48.74, -,9.120965
16.35,1528.27,953.20,-51.85714,48.74, -,9.120965
16.40,1522.533,953.40,-57.33333,48.74, -,9.120965
16.45,1519.666,953.50,-57.33333,48.74, -,9.120965
16.50,1519.666,953.50,-46.38095,48.74, -,9.120965
16.55,1522.533,953.40,-40.95238,48.74, -,9.120965
16.60,1516.8,953.60,-46.42857,48.74, -,9.120965
16.65,1511.065,953.80,-51.90476,48.74, -,9.120965
16.70,1505.331,954.00,-51.90476,48.74, -,9.120965
16.75,1502.466,954.10,-46.42857,48.74, -,9.120965
16.80,1496.733,954.30,-43.71429,48.74, -,9.120965
16.85,1491.002,954.50,-41,48.74, -,9.120965
16.90,1488.138,954.60,-41,48.74, -,9.120965
16.95,1485.272,954.70,-43.71429,48.74, -,9.120965
17.00,1482.408,954.80,-43.71429,48.74, -,9.120965
17.05,1482.408,954.80,-41,48.74, -,9.120965
17.10,1479.543,954.90,-43.71429,48.74, -,9.120965
17.15,1476.679,955.00,-43.71429,48.74, -,9.120965
17.20,1476.679,955.00,-46.42857,48.74, -,9.120965
17.25,1473.816,955.10,-51.85714,48.74, -,9.120965
17.30,1470.951,955.20,-54.57143,48.74, -,9.120965
17.35,1468.089,955.30,-60,48.74, -,9.120965
17.40,1465.225,955.40,-60,48.74, -,9.120965
17.45,1465.225,955.40,-54.52381,48.74, -,9.120965
